tick,arrived,cumulative_avg,windowed_avg,min_time,max_time,p95_time,throughput,rush_level,system_cost,total_delay,active_vehicles
100,205,7.34244,8.956,1.9,9.9,9.9,2.05,0.330159,30016.8,356.908,3329
200,476,12.1758,18.025,1.9,19.9,19.7,2.38,0.334579,27838.7,3007.31,3105
300,811,17.9546,29.2881,1.9,29.9001,29.9001,2.70333,0.382912,24502.7,9395.52,2814
400,1095,22.2992,37.542,1.9,39.8,39.5,2.7375,0.353571,22909.3,16913.9,2557
500,1398,27.1863,47.9088,1.9,49.8998,49.6998,2.796,0.367196,20101.9,28344.5,2266
600,1799,33.4629,59.4007,1.9,59.8997,59.8997,2.99833,0.351429,16379.7,47614.3,1877
700,2230,39.6255,69.3055,1.9,69.8995,69.8995,3.18571,0.376484,12482,72502.2,1475
800,2580,44.417,78.6464,1.9,79.8994,79.8994,3.225,0.450397,8100.79,96218.9,1170
900,2980,49.1461,82.3273,1.9,89.8992,89.7992,3.31111,0.32381,6372.7,124971,816
1000,3247,52.7439,95.1871,1.9,99.899,99.799,3.247,0.330037,3985.16,147903,582
1100,3509,55.6324,101.36,1.9,109.799,109.299,3.19,0.292698,1543.77,169833,335
1200,3711,57.1607,82.7833,1.9,119.099,117.199,3.0925,0.20881,524.803,185428,144
1300,3853,57.9317,61.3655,1.9,121.699,121.399,2.96385,0.140944,12.0189,195444,25
1400,3895,57.4821,29.6179,1.9,129.999,85.2993,2.78214,0.140163,12.2328,195857,25
1500,3939,56.9298,15.448,1.9,129.999,49.2998,2.626,0.153044,12.7225,195915,29
1600,3983,56.3941,8.196,1.9,129.999,12.3,2.48938,0.137806,52.2174,195980,23
1700,4013,56.0395,8.658,1.9,129.999,13.1,2.36059,0.129198,21.768,196034,12
1800,4028,55.87,8.887,1.9,129.999,14.5,2.23778,0.125706,11.7109,196068,7
1900,4041,55.7171,8.913,1.9,129.999,15.3,2.12684,0.132312,11.9263,196089,12
2000,4061,55.4844,8.825,1.9,129.999,15.3,2.0305,0.14026,42.0591,196113,29
2100,4112,54.9041,8.883,1.9,129.999,13.9,1.9581,0.14324,32.1688,196196,26
2200,4153,54.4466,8.697,1.9,129.999,13.1,1.88773,0.142031,72.1783,196268,27
2300,4190,54.0529,9.196,1.9,129.999,13.9,1.82174,0.133484,11.9997,196344,14
2400,4210,53.8394,9.167,1.9,129.999,13.6,1.75417,0.123087,31.5776,196373,5
2500,4220,53.7332,9.314,1.9,129.999,14,1.688,0.125505,11.6903,196389,9
2600,4240,53.516,9.258,1.9,129.999,14,1.63077,0.138264,32.1658,196411,20
2700,4276,53.1362,8.64,1.9,129.999,13.2,1.5837,0.150126,22.5996,196461,30
2800,4321,52.6752,8.449,1.9,129.999,13.3,1.54321,0.148203,62.2979,196538,30
2900,4360,52.2877,9.001,1.9,129.999,13.5,1.50345,0.140608,12.2271,196614,20
3000,4386,52.0326,9.139,1.9,129.999,14.4,1.462,0.126738,11.6619,196657,7
3100,4399,51.9013,9.032,1.9,129.999,12.7,1.41903,0.123185,11.6437,196674,6
3200,4415,51.7426,8.868,1.9,129.999,13,1.37969,0.133221,11.8841,196692,15
3300,4441,51.4812,8.36,1.9,129.999,13,1.34576,0.152867,12.4495,196722,32
3400,4494,50.9736,8.016,1.9,129.999,13,1.32176,0.149027,12.2401,196815,26
3500,4536,50.5782,8.218,1.9,129.999,13.5,1.296,0.138026,11.8723,196879,19
3600,4562,50.3392,8.47,1.9,129.999,13.5,1.26722,0.128521,21.6883,196931,9
3700,4574,50.23,8.322,1.9,129.999,13.5,1.23622,0.125786,11.6591,196953,7
3800,4590,50.0854,8.543,1.9,129.999,13.5,1.20789,0.132886,11.787,196974,12
3900,4611,49.8917,8.284,1.9,129.999,13.5,1.18231,0.149174,22.4918,196999,30
4000,4661,49.4522,8.583,1.9,129.999,13.3,1.16525,0.14084,122.136,197100,28
4100,4688,49.2253,8.94501,1.9,129.999,13.4,1.14341,0.120132,11.5593,197157,1
4105,4689,49.2181,9.00901,1.9,129.999,13.5,1.14227,0.11918,11.5565,197162,0
